,title,link
0,シン・エヴァンゲリオン劇場版 特報2.5 - YouTube,https://www.youtube.com/watch?v=_ffbBbB9cA8
1,【3分でわかる】新世紀エヴァンゲリオン「人類補完計画」の概要【エヴァ ...,https://www.youtube.com/watch?v=7QLpLOV1QMo
2,エヴァ冒頭の映像！「シン・エヴァンゲリオン劇場版 AVANT 1（冒頭10分 ...,https://www.youtube.com/watch?v=omadFGQPCfM
3,「エヴァンゲリオン」新作ゲームはエヴァ同士の対決!? スマートフォン向け ...,https://www.youtube.com/watch?v=_X_TY4nqE9A
4,大当り確率『1/496.5』伝説の初代エヴァ！CR新世紀エヴァンゲリオンZF ...,https://www.youtube.com/watch?v=4_G1zCbfOzM
5,新作エヴァ本編映像解禁 『シン・エヴァンゲリオン劇場版』AVANT1（冒頭 ...,https://www.youtube.com/watch?v=rDl1oa5Zrok
6,中田敦彦が熱弁！エヴァンゲリオン名場面ベスト3！ - YouTube,https://www.youtube.com/watch?v=-sjpXSGsAR0
7,9月新台！甘エヴァ13～最低でもST継続率86％！～ - YouTube,https://www.youtube.com/watch?v=WfsO-JLv_FQ
8,「シン・エヴァンゲリオン劇場版」冒頭10分40秒の解説と考察【0706作戦 ...,https://www.youtube.com/watch?v=201U6lan1VU
9,エヴァ冒頭10分40秒_エヴァ0706作戦 - YouTube,https://www.youtube.com/watch?v=QIZKBbzv-KM
10,「シン・エヴァ」2020年6月公開！最新映像“特報2”公開 エヴァ新作 ...,https://www.youtube.com/watch?v=T2DbXgoK-JU
11,0706作戦 エヴァ冒頭10分40秒_歪み補正_画面サイズ補正 - YouTube,https://www.youtube.com/watch?v=AslaxX1uMf8
12,EVA-FAN_ch[EVANGELIONFAN Channel],https://www.youtube.com/channel/UCp3Mj-C0zHKQIJ5qxOYYwrg
13,エヴァ新作ゲーム『エヴァンゲリオン バトルフィールズ』バトル映像 ...,https://www.youtube.com/watch?v=EsnqZZqlN68
14,やっぱこの頃のエヴァ(セカパク/シトフタ)が至高。CRA新世紀 ...,https://www.youtube.com/watch?v=TmxZeDayPjE
15,京アニ事件持ち出し「エヴァ」制作会社を脅迫の疑い(19/10/17) - YouTube,https://www.youtube.com/watch?v=jZl7uqrL2Ww
16,『CODE VEIN』キャラクター紹介PV（エヴァ・ルゥ篇） - YouTube,https://www.youtube.com/watch?v=7zqGbSk5S7s
17,【エヴァ初心者向け】エヴァンゲリオンはどんなストーリー？ロボットじゃない ...,https://www.youtube.com/watch?v=p5mi0wmw-Jw
18,【公式】エヴァ×水曜どうでしょうコラボ襲来！ - YouTube,https://www.youtube.com/watch?v=R0Tr2bvSMuM
19,シン・エヴァンゲリオン劇場版』0706作戦 - YouTube,https://www.youtube.com/watch?v=GWSDnNi4unc
